instType,instId,tradeId,ordId,clOrdId,billId,tag,fillPx,fillSz,side,posSide,execType,feeCcy,fee,ts,subType
SWAP,IMX-USDT-SWAP,60779310,661823964297539634,O661823964290277383,661823965706825790,null,2.12,1.0,sell,net,M,USDT,-0.000106,1704063129000,2
SWAP,IMX-USDT-SWAP,60779389,661823964297539634,O661823964290277383,661823967158054942,null,2.12,730.0,sell,net,M,USDT,-0.07738,1704063129000,2
SWAP,IMX-USDT-SWAP,60779265,661823964297539634,O661823964290277383,661823964574363690,null,2.12,277.0,sell,net,M,USDT,-0.029362,1704063129000,2
SWAP,IMX-USDT-SWAP,60779274,661823964297539634,O661823964290277383,661823964670832697,null,2.12,365.0,sell,net,M,USDT,-0.03869,1704063129000,2
SWAP,IMX-USDT-SWAP,60779369,661823964297539634,O661823964290277383,661823966533103638,null,2.12,270.0,sell,net,M,USDT,-0.02862,1704063129000,2
SWAP,IMX-USDT-SWAP,60779247,661823964297539634,O661823964290277383,661823964364648494,null,2.12,707.0,sell,net,M,USDT,-0.074942,1704063129000,2
SWAP,IMX-USDT-SWAP,60779229,661823964297539634,O661823964290277383,661823964310122533,null,2.1217,470.0,sell,net,T,USDT,-0.24929975,1704063129000,2
SWAP,IMX-USDT-SWAP,60779321,661823964297539634,O661823964290277383,661823966314999824,null,2.12,56.0,sell,net,M,USDT,-0.005936,1704063129000,2
SWAP,IMX-USDT-SWAP,60779316,661823964297539634,O661823964290277383,661823965920735343,null,2.12,884.0,sell,net,M,USDT,-0.093704,1704063129000,2
SWAP,IMX-USDT-SWAP,60779541,661823964297539634,O661823964290277383,661823968743501881,null,2.12,7628.0,sell,net,M,USDT,-0.808568,1704063130000,2
SWAP,IMX-USDT-SWAP,60779253,661823964297539634,O661823964290277383,661823964398202912,null,2.12,15.0,sell,net,M,USDT,-0.00159,1704063129000,2
SWAP,IMX-USDT-SWAP,60779251,661823964297539634,O661823964290277383,661823964394008611,null,2.12,412.0,sell,net,M,USDT,-0.043672,1704063129000,2
SWAP,IMX-USDT-SWAP,60779302,661823964297539634,O661823964290277383,661823965379670073,null,2.12,39.0,sell,net,M,USDT,-0.004134,1704063129000,2
SWAP,IMX-USDT-SWAP,60779311,661823964297539634,O661823964290277383,661823965715214340,null,2.12,47.0,sell,net,M,USDT,-0.004982,1704063129000,2
SWAP,IMX-USDT-SWAP,60779277,661823964297539634,O661823964290277383,661823964742135826,null,2.12,121.0,sell,net,M,USDT,-0.012826,1704063129000,2
SWAP,IMX-USDT-SWAP,60779276,661823964297539634,O661823964290277383,661823964733747200,null,2.12,893.0,sell,net,M,USDT,-0.094658,1704063129000,2
SWAP,IMX-USDT-SWAP,60779505,661823964297539634,O661823964290277383,661823968592506891,null,2.12,98.0,sell,net,M,USDT,-0.010388,1704063130000,2
SWAP,IMX-USDT-SWAP,60779255,661823964297539634,O661823964290277383,661823964398202935,null,2.12,732.0,sell,net,M,USDT,-0.077592,1704063129000,2
SWAP,IMX-USDT-SWAP,60779280,661823964297539634,O661823964290277383,661823964771495977,null,2.12,381.0,sell,net,M,USDT,-0.040386,1704063129000,2
SWAP,IMX-USDT-SWAP,60779291,661823964297539634,O661823964290277383,661823964779884549,null,2.12,245.0,sell,net,M,USDT,-0.02597,1704063129000,2
SWAP,IMX-USDT-SWAP,60779250,661823964297539634,O661823964290277383,661823964377231365,null,2.12,323.0,sell,net,M,USDT,-0.034238,1704063129000,2
SWAP,IMX-USDT-SWAP,60779235,661823964297539634,O661823964290277383,661823964310122544,null,2.12,116.0,sell,net,T,USDT,-0.06148,1704063129000,2
SWAP,IMX-USDT-SWAP,60779252,661823964297539634,O661823964290277383,661823964398202908,null,2.12,1751.0,sell,net,M,USDT,-0.185606,1704063129000,2
SWAP,IMX-USDT-SWAP,60779259,661823964297539634,O661823964290277383,661823964456923151,null,2.12,35.0,sell,net,M,USDT,-0.00371,1704063129000,2
SWAP,IMX-USDT-SWAP,60779279,661823964297539634,O661823964290277383,661823964754718721,null,2.12,342.0,sell,net,M,USDT,-0.036252,1704063129000,2
SWAP,IMX-USDT-SWAP,60779270,661823964297539634,O661823964290277383,661823964658249763,null,2.12,235.0,sell,net,M,USDT,-0.02491,1704063129000,2
SWAP,IMX-USDT-SWAP,60779278,661823964297539634,O661823964290277383,661823964742135836,null,2.12,566.0,sell,net,M,USDT,-0.059996,1704063129000,2
SWAP,IMX-USDT-SWAP,60779300,661823964297539634,O661823964290277383,661823965136400385,null,2.12,291.0,sell,net,M,USDT,-0.030846,1704063129000,2
SWAP,IMX-USDT-SWAP,60779533,661823964297539634,O661823964290277383,661823968659615810,null,2.12,83.0,sell,net,M,USDT,-0.008798,1704063130000,2
SWAP,IMX-USDT-SWAP,60779232,661823964297539634,O661823964290277383,661823964310122540,null,2.12,5.0,sell,net,T,USDT,-0.00265,1704063129000,2
SWAP,IMX-USDT-SWAP,60779233,661823964297539634,O661823964290277383,661823964310122541,null,2.12,1.0,sell,net,T,USDT,-0.00053,1704063129000,2
SWAP,IMX-USDT-SWAP,60779246,661823964297539634,O661823964290277383,661823964352065552,null,2.12,1861.0,sell,net,M,USDT,-0.197266,1704063129000,2
SWAP,IMX-USDT-SWAP,60779271,661823964297539634,O661823964290277383,661823964662444045,null,2.12,44.0,sell,net,M,USDT,-0.004664,1704063129000,2
SWAP,IMX-USDT-SWAP,60779506,661823964297539634,O661823964290277383,661823968592506938,null,2.12,67.0,sell,net,M,USDT,-0.007102,1704063130000,2
SWAP,IMX-USDT-SWAP,60779234,661823964297539634,O661823964290277383,661823964310122542,null,2.12,47.0,sell,net,T,USDT,-0.02491,1704063129000,2
SWAP,IMX-USDT-SWAP,60779254,661823964297539634,O661823964290277383,661823964398202918,null,2.12,21.0,sell,net,M,USDT,-0.002226,1704063129000,2
SWAP,IMX-USDT-SWAP,60779256,661823964297539634,O661823964290277383,661823964435951631,null,2.12,77.0,sell,net,M,USDT,-0.008162,1704063129000,2
SWAP,IMX-USDT-SWAP,60779263,661823964297539634,O661823964290277383,661823964536614930,null,2.12,1.0,sell,net,M,USDT,-0.000106,1704063129000,2
SWAP,IMX-USDT-SWAP,60779320,661823964297539634,O661823964290277383,661823966260473867,null,2.12,40.0,sell,net,M,USDT,-0.00424,1704063129000,2
SWAP,IMX-USDT-SWAP,60779539,661823964297539634,O661823964290277383,661823968739307520,null,2.12,231.0,sell,net,M,USDT,-0.024486,1704063130000,2
SWAP,IMX-USDT-SWAP,60779266,661823964297539634,O661823964290277383,661823964582752313,null,2.12,670.0,sell,net,M,USDT,-0.07102,1704063129000,2
SWAP,IMX-USDT-SWAP,60779268,661823964297539634,O661823964290277383,661823964603723804,null,2.12,715.0,sell,net,M,USDT,-0.07579,1704063129000,2
SWAP,IMX-USDT-SWAP,60779292,661823964297539634,O661823964290277383,661823964800856068,null,2.12,133.0,sell,net,M,USDT,-0.014098,1704063129000,2
SWAP,IMX-USDT-SWAP,60779319,661823964297539634,O661823964290277383,661823966222725163,null,2.12,28.0,sell,net,M,USDT,-0.002968,1704063129000,2
SWAP,AVAX-USDT-SWAP,125177145,682119511520555015,null,682119642156347411,null,37.36,1.0,sell,net,T,USDT,-0.011208,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177168,682119511520555015,null,682119642160541727,null,37.35,21.0,sell,net,T,USDT,-0.235305,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177169,682119511520555015,null,682119642160541736,null,37.35,10.0,sell,net,T,USDT,-0.11205,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177177,682119511520555015,null,682119648661712905,null,37.35,103.0,sell,net,M,USDT,-0.307764,1708901997000,2
SWAP,AVAX-USDT-SWAP,125177175,682119511520555015,null,682119648594604073,null,37.35,26.0,sell,net,M,USDT,-0.077688,1708901997000,2
SWAP,AVAX-USDT-SWAP,125177162,682119511520555015,null,682119642156347467,null,37.351,7.0,sell,net,T,USDT,-0.0784371,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177160,682119511520555015,null,682119642156347447,null,37.352,1.0,sell,net,T,USDT,-0.0112056,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177147,682119511520555015,null,682119642156347416,null,37.358,80.0,sell,net,T,USDT,-0.896592,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177156,682119511520555015,null,682119642156347427,null,37.353,5.0,sell,net,T,USDT,-0.0560295,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177157,682119511520555015,null,682119642156347431,null,37.353,81.0,sell,net,T,USDT,-0.9076779,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177146,682119511520555015,null,682119642156347413,null,37.359,32.0,sell,net,T,USDT,-0.3586464,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177153,682119511520555015,null,682119642156347422,null,37.355,5.0,sell,net,T,USDT,-0.0560325,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177178,682119511520555015,null,682119650221993987,null,37.35,66.0,sell,net,M,USDT,-0.197208,1708901997000,2
SWAP,AVAX-USDT-SWAP,125177173,682119511520555015,null,682119642160541758,null,37.35,16.0,sell,net,T,USDT,-0.17928,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177141,682119511520555015,null,682119642156347406,null,37.364,42.0,sell,net,T,USDT,-0.4707864,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177159,682119511520555015,null,682119642156347442,null,37.352,6.0,sell,net,T,USDT,-0.0672336,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177151,682119511520555015,null,682119642156347420,null,37.356,2.0,sell,net,T,USDT,-0.0224136,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177144,682119511520555015,null,682119642156347410,null,37.36,1.0,sell,net,T,USDT,-0.011208,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177172,682119511520555015,null,682119642160541753,null,37.35,2.0,sell,net,T,USDT,-0.02241,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177148,682119511520555015,null,682119642156347417,null,37.358,32.0,sell,net,T,USDT,-0.3586368,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177167,682119511520555015,null,682119642160541721,null,37.35,7.0,sell,net,T,USDT,-0.078435,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177142,682119511520555015,null,682119642156347407,null,37.363,20.0,sell,net,T,USDT,-0.224178,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177163,682119511520555015,null,682119642156347478,null,37.351,5.0,sell,net,T,USDT,-0.0560265,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177166,682119511520555015,null,682119642160541713,null,37.35,13.0,sell,net,T,USDT,-0.145665,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177164,682119511520555015,null,682119642160541698,null,37.351,6.0,sell,net,T,USDT,-0.0672318,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177140,682119511520555015,null,682119642156347404,null,37.364,10.0,sell,net,T,USDT,-0.112092,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177188,682119511520555015,null,682119653485162511,null,37.35,22.0,sell,net,M,USDT,-0.065736,1708901998000,2
SWAP,AVAX-USDT-SWAP,125177189,682119511520555015,null,682119657226481664,null,37.35,3.0,sell,net,M,USDT,-0.008964,1708901999000,2
SWAP,AVAX-USDT-SWAP,125177149,682119511520555015,null,682119642156347418,null,37.357,5.0,sell,net,T,USDT,-0.0560355,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177139,682119511520555015,null,682119642156347396,null,37.364,1.0,sell,net,T,USDT,-0.0112092,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177174,682119511520555015,null,682119648594604037,null,37.35,53.0,sell,net,M,USDT,-0.158364,1708901997000,2
SWAP,AVAX-USDT-SWAP,125177143,682119511520555015,null,682119642156347409,null,37.362,21.0,sell,net,T,USDT,-0.2353806,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177161,682119511520555015,null,682119642156347459,null,37.352,27.0,sell,net,T,USDT,-0.3025512,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177150,682119511520555015,null,682119642156347419,null,37.357,13.0,sell,net,T,USDT,-0.1456923,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177154,682119511520555015,null,682119642156347425,null,37.355,18.0,sell,net,T,USDT,-0.201717,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177158,682119511520555015,null,682119642156347436,null,37.352,1.0,sell,net,T,USDT,-0.0112056,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177165,682119511520555015,null,682119642160541703,null,37.351,1.0,sell,net,T,USDT,-0.0112053,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177176,682119511520555015,null,682119648602992649,null,37.35,23.0,sell,net,M,USDT,-0.068724,1708901997000,2
SWAP,AVAX-USDT-SWAP,125177152,682119511520555015,null,682119642156347421,null,37.355,2.0,sell,net,T,USDT,-0.022413,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177191,682119511520555015,null,682119660263157760,null,37.35,86.0,sell,net,M,USDT,-0.256968,1708902000000,2
SWAP,AVAX-USDT-SWAP,125177170,682119511520555015,null,682119642160541742,null,37.35,6.0,sell,net,T,USDT,-0.06723,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177155,682119511520555015,null,682119642156347426,null,37.354,6.0,sell,net,T,USDT,-0.0672372,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177171,682119511520555015,null,682119642160541747,null,37.35,2.0,sell,net,T,USDT,-0.02241,1708901995000,2
SWAP,AVAX-USDT-SWAP,125177190,682119511520555015,null,682119660250574886,null,37.35,10.0,sell,net,M,USDT,-0.02988,1708902000000,2
SWAP,YGG-USDT-SWAP,99483101,682436302578888707,null,682436302587277344,null,0.5704,456.0,buy,net,T,USDT,-0.07803072,1708977493000,1
SWAP,YGG-USDT-SWAP,99483098,682436302578888707,null,682436302587277340,null,0.5704,1.0,buy,net,T,USDT,-0.00017112,1708977493000,1
SWAP,YGG-USDT-SWAP,99483268,682436302578888707,null,682436975357833266,null,0.5705,300.0,buy,net,M,USDT,-0.013692,1708977653000,1
SWAP,YGG-USDT-SWAP,99483273,682436302578888707,null,682436975387193383,null,0.5705,624.0,buy,net,M,USDT,-0.02847936,1708977653000,1
SWAP,YGG-USDT-SWAP,99483267,682436302578888707,null,682436932513017892,null,0.5705,31.0,buy,net,M,USDT,-0.00141484,1708977643000,1
SWAP,YGG-USDT-SWAP,99483100,682436302578888707,null,682436302587277342,null,0.5704,37.0,buy,net,T,USDT,-0.00633144,1708977493000,1
SWAP,YGG-USDT-SWAP,99483094,682436302578888707,null,682436302587277333,null,0.5704,4.0,buy,net,T,USDT,-0.00068448,1708977493000,1
SWAP,YGG-USDT-SWAP,99483087,682436302578888707,null,682436302587277317,null,0.5703,1.0,buy,net,T,USDT,-0.00017109,1708977493000,1
SWAP,YGG-USDT-SWAP,99483086,682436302578888707,null,682436302587277312,null,0.5703,7.0,buy,net,T,USDT,-0.00119763,1708977493000,1
SWAP,YGG-USDT-SWAP,99483108,682436302578888707,null,682436302587277402,null,0.5705,76.0,buy,net,T,USDT,-0.0130074,1708977493000,1
SWAP,YGG-USDT-SWAP,99483090,682436302578888707,null,682436302587277323,null,0.5703,300.0,buy,net,T,USDT,-0.051327,1708977493000,1
SWAP,YGG-USDT-SWAP,99483280,682436302578888707,null,682436975391387700,null,0.5705,137.0,buy,net,M,USDT,-0.00625268,1708977653000,1
SWAP,YGG-USDT-SWAP,99483103,682436302578888707,null,682436302587277363,null,0.5705,1.0,buy,net,T,USDT,-0.00017115,1708977493000,1
SWAP,YGG-USDT-SWAP,99483249,682436302578888707,null,682436766011731996,null,0.5705,15.0,buy,net,M,USDT,-0.0006846,1708977604000,1
SWAP,YGG-USDT-SWAP,99483109,682436302578888707,null,682436302591471619,null,0.5705,375.0,buy,net,T,USDT,-0.06418125,1708977493000,1
SWAP,YGG-USDT-SWAP,99483275,682436302578888707,null,682436975387193393,null,0.5705,2055.0,buy,net,M,USDT,-0.0937902,1708977653000,1
SWAP,YGG-USDT-SWAP,99483200,682436302578888707,null,682436342898733059,null,0.5705,1401.0,buy,net,M,USDT,-0.06394164,1708977503000,1
SWAP,YGG-USDT-SWAP,99483149,682436302578888707,null,682436324578013208,null,0.5705,18.0,buy,net,M,USDT,-0.00082152,1708977498000,1
SWAP,YGG-USDT-SWAP,99483119,682436302578888707,null,682436302633414666,null,0.5705,4187.0,buy,net,M,USDT,-0.19109468,1708977493000,1
SWAP,YGG-USDT-SWAP,99483270,682436302578888707,null,682436975374610452,null,0.5705,667.0,buy,net,M,USDT,-0.03044188,1708977653000,1
SWAP,YGG-USDT-SWAP,99483105,682436302578888707,null,682436302587277387,null,0.5705,62.0,buy,net,T,USDT,-0.0106113,1708977493000,1
